FrameworkNumber,Framework,title,Small_description,Description,Benefits
RM6225,Audio Visual Technical Consultancy & Commissioning,Audio Visual Technical Consultancy & Commissioning,A Dynamic Purchasing System (DPS) for public sector customers who need complex audio visual (AV) services. Plus support services for rooms that use a range of AV technology.,,
RM6226,Debt Resolution Services,Debt Resolution Services,"Public sector customers can access debt recovery and associated services including data, fraud and error, litigation and spend analysis recovery.",,
RM6229,Permanent Recruitment 2,Permanent Recruitment 2,"All public sector organisations can access recruitment services to hire permanent, fixed term and internal secondment roles through recruitment agencies.",,
RM6232,Facilities Management and Workplace Services,Facilities Management and Workplace Services,All public sector organisations can access a range of Facilities Management (FM) services from cleaning and waste services to maintenance services and landscaping.,,
RM6235,Space-Enabled and Geospatial Services,Space-Enabled and Geospatial Services,"A Dynamic Purchasing System (DPS) that will help to maximise public sector services and support the UK National Space Strategy and Geospatial strategy. This agreement has suppliers that can provide remote geospatial, locational, communication and sensing capabilities. Services available may include data, technology solutions and aerial and land-based platforms.",,
RM6238,Supply Teachers and Temporary Staffing (STaTS),Supply Teachers and Temporary Staffing (STaTS),"Recruit temporary and fixed-term teachers, education support staff and non-teaching staff for UK schools, colleges and education establishments. It is not available to independent (for-profit) schools.",,
RM6240,Public Sector Legal Services,Public Sector Legal Services,"This framework has been established to provide a simple and compliant route to market for a range of legal services requirements primarily to the wider public sector. It covers a wide range of commonly needed areas of law, including contracts, dispute resolution and litigation, contracts and corporate law.
Comprising 3 lots the framework offers both general and more specific legal services.",,
RM6241,Housing Maintenance and Repair,Housing Maintenance and Repair,All central government and wider public sector organisations can buy housing maintenance and repair services. Includes planned and reactive maintenance and repair for both tenanted and vacant properties.,,
RM6242,Construction Professional Services DPS,Construction Professional Services DPS,Central government and wider public sector organisations can buy a range of expert professional and technical construction services.,,
RM6244,Purchase of Standard and Specialist Vehicles,Purchase of Standard and Specialist Vehicles,"Central government and wider public sector can buy standard, converted and specialist vehicles. Includes access to vehicles of all sizes, specifications and fuel types.",,
RM6248,Payment Solutions 2,Payment Solutions 2,Enables UK government and wider public sector customers to buy goods and services using procurement cards and to disburse funds using prepaid cards and voucher solutions.,,
RM6237,Low Value Purchase System,Low Value Purchase System,"Low cost, low value and uncomplicated common goods and services including from Small and Medium-sized Enterprises (SME) and Voluntary, Community and Social Enterprise (VCSE) suppliers.",,
RM6249,Digital and IT Professional Services (DIPS),Digital and IT Professional Services (DIPS),Enables you to access professional service requirements and recruit digital and IT resource. Available for MOD customers only.,,
RM6251,Supply of Energy 2,Supply of Energy 2,Central government and wider public sector organisations can access the supply of electricity and gas through a specialist risk managed energy procurement service.,,
RM6254,Carbon Net Zero,,,,
SP-17-031,Gas Scotland SP-17-031,,,,
RM6257,"Security - Physical, Technical and Support Services","Security - Physical, Technical and Support Services",All UK public sector bodies can access a range of security products and services including guarding and installation of security systems.,,
RM6259,Vertical Application Solutions,,,,
RM6261,Mobile Voice and Data Services,,,,
RM6262,Crown Hosting II,,,,
RM6263,Digital Specialists and Programmes,,,,
RM6264,Facilities Management and Workplace Services DPS,,,,
RM6265,Vehicle Hire Solutions,,,,
RM6267,Construction Works and Associated Services 2 (CWAS2) / ProCure 23 (P23),,,,
RM6268,"Vehicle Lease, Fleet Management and Salary Sacrifice Car Schemes",,,,
RM6269,Restructuring & Insolvency Services,,,,
RM6273,Employee Benefits and Services,,,,
RM6276,Insourced Services to Support the Provision of Healthcare (including Clinical In,,,,
RM6277,Non Clinical Staffing,,,,
RM6278,Managed Staff Banks,,,,
RM6279,Buying Better Food and Drink,,,,
RM6280,Postal Services & Solutions,,,,
RM6281,National Framework for the Provision of Clinical and Healthcare Staffing,,,,
RM6284,Costs Lawyer Services 2,,,,
RM6282,"Storage, Distribution, Kitting and Associated Services",,,,
RM6288,Workforce Solutions,,,,
RM6290,Executive & Non-Executive Recruitment Services,,,,
RM6292,Cloud Compute 2,,,,
RM6296,Occupational Health and Related Services DPS,,,,
RM6299,Office Solutions,,,,
RM6301,"Open Banking (Data, Digital Payments & Confirmation of Payee Services) DPS",,,,
RM6305,National Fuels 3,,,,
RM6306,"Water, Wastewater and Ancillary Services 3",,,,
RM6308,Furniture and Associated Services 2,,,,
RM6313,Demand Management & Renewables DPS,,,,
RM6314,Demand Management & Renewables Framework,,,,
RM6315,Vehicle Telematics Solutions,,,,
RM6317,Cisco MoU,,,,
RM6321,Adobe ETLA 23,,,,
RM6322,Fund Administration & Disbursement Services DPS (FAADS),,,,
